,url_length,n_result,slash_count,dot_count,.edu,.com,.gov,.net,.org,.other,alexa_rank,keyword_in_netloc,keyword_in_path,keyword_in_title,keyword_in_description,labels,urls,titles,descriptions
0,48.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,1.0,2.0,1.0,1,https://en.wikipedia.org/wiki/Avatar_(2009_film),avatar 2009 film  wikipedia  enwikipediaorg  wiki  avatar2009film,avatar is a 2009 american epic science fiction film directed written produced and coedited by james cameron and starring sam worthington zoe saldana  category    avatar music from the motion    james camerons avatar    unobtainium
1,37.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,1.0,0.0,1,https://www.imdb.com/title/tt0499549/,avatar 2009  imdb  wwwimdbcom  title,rating   7810  1163171
2,39.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,525.0,0.0,0.0,0.0,0.0,1,https://www.rottentomatoes.com/m/avatar,avatar  rotten tomatoes  wwwrottentomatoescom  avatar,rating   81  322
3,43.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0,https://www.youtube.com/watch?v=5PSNL1qE6VY,avatar  official trailer hd  20th century fox  youtube  wwwyoutubecom  watch,duration   332  posted   nov 9 2009
4,52.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0,https://www.youtube.com/watch?v=6ziBFh3V1aM&vl=en-US,avatar official final trailer 2009 james cameron scifi action   wwwyoutubecom  watch,duration   312  posted   sep 26 2017
5,59.0,5.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,1,https://james-camerons-avatar.fandom.com/wiki/Avatar_(film),avatar film  avatar wiki  fandom  jamescameronsavatarfandomcom  wiki  avatarfilm,avatar is an american science fiction film written and directed by james cameron starring sam worthington zo saldaa stephen lang michelle rodriguez and
6,46.0,6.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,9615.0,0.0,1.0,2.0,1.0,0,https://www.rogerebert.com/reviews/avatar-2009,avatar movie review  film summary 2009  roger ebert  wwwrogerebertcom  reviews  avatar2009,dec 11 2009    avatar in my opinion is the greatest movie ever created a monument of film making i dont know how you found the story line boring it was one
7,36.0,7.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,991463.0,0.0,0.0,1.0,1.0,1,https://www.avatar.com/movies/avatar,avatar 2009  avatarcom  wwwavatarcom  movies  avatar,dec 18 2009    from academy award winning director james cameron comes avatar the story of an exmarine who finds himself thrust into hostilities on an
8,43.0,8.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,1.0,0.0,0,https://www.amazon.com/Avatar/dp/B0042H9YMC,avatar 2009  movies  tv  amazoncom  wwwamazoncom  avatar,rating   48  34082
9,34.0,9.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1090.0,0.0,0.0,1.0,0.0,0,https://screenrant.com/tag/avatar/,avatar 2009  screenrant  screenrantcom  tag  avatar,ubisoft reveals its standalone entry into the avatar universe avatar frontiers of pandora an upcoming firstperson openworld game cade onder jun 12 2021
